timestamp,actual,forecast,mase,mape,rmse,refit_flag,mase_rolling_24h,mape_rolling_24h,rmse_rolling_24h
2015-03-02 00:00:00+00:00,47257.0,47172.88,0.5709934413328309,1.9195703067078778,1401.8867361184339,1,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 01:00:00+00:00,46629.0,47019.81,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 02:00:00+00:00,47134.0,47967.746,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 03:00:00+00:00,49041.0,49988.566,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 04:00:00+00:00,52768.0,54028.61,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 05:00:00+00:00,60206.0,58723.414,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 06:00:00+00:00,64766.0,63358.617,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 07:00:00+00:00,66658.0,67217.836,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 08:00:00+00:00,67277.0,69366.52,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 09:00:00+00:00,68507.0,70596.586,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 10:00:00+00:00,69756.0,69942.82,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 11:00:00+00:00,69112.0,68931.34,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 12:00:00+00:00,68617.0,67982.5,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 13:00:00+00:00,67480.0,67779.88,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 14:00:00+00:00,67421.0,67434.46,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 15:00:00+00:00,66046.0,67565.13,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 16:00:00+00:00,66127.0,67954.58,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 17:00:00+00:00,68765.0,67200.08,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 18:00:00+00:00,68597.0,66404.375,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 19:00:00+00:00,64820.0,64091.562,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 20:00:00+00:00,62429.0,61160.703,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 21:00:00+00:00,60451.0,58024.906,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 22:00:00+00:00,56770.0,54699.598,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-02 23:00:00+00:00,54069.0,51872.66,0.5709934413328309,1.9195703067078778,1401.8867361184339,0,0.5709934413328309,1.9195703067078778,1401.8867361184339
2015-03-03 00:00:00+00:00,52332.0,49664.8,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 01:00:00+00:00,51535.0,48299.137,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 02:00:00+00:00,51818.0,48176.53,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 03:00:00+00:00,52817.0,49461.605,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 04:00:00+00:00,55093.0,52900.39,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 05:00:00+00:00,61466.0,57464.875,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 06:00:00+00:00,65670.0,62653.93,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 07:00:00+00:00,67553.0,67295.29,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
2015-03-03 08:00:00+00:00,67826.0,70207.1,0.912210933649902,3.108045408310273,2205.1211721971167,0,0.912210933649902,3.108045408310273,2205.1211721971167
