timestamp,actual,forecast
2020-09-25 23:00:00+00:00,25060.0,26329.541
2020-09-26 00:00:00+00:00,24225.0,25261.059
2020-09-26 01:00:00+00:00,23688.0,24732.111
2020-09-26 02:00:00+00:00,23555.0,24917.625
2020-09-26 03:00:00+00:00,24001.0,26342.26
2020-09-26 04:00:00+00:00,25780.0,29198.2
2020-09-26 05:00:00+00:00,27359.0,32555.166
2020-09-26 06:00:00+00:00,29273.0,35459.836
2020-09-26 07:00:00+00:00,30571.0,36896.312
2020-09-26 08:00:00+00:00,30233.0,36736.414
2020-09-26 09:00:00+00:00,30129.0,35640.137
2020-09-26 10:00:00+00:00,29198.0,34508.504
2020-09-26 11:00:00+00:00,27174.0,34009.285
2020-09-26 12:00:00+00:00,25672.0,33980.64
2020-09-26 13:00:00+00:00,25361.0,34229.344
2020-09-26 14:00:00+00:00,27127.0,34705.42
2020-09-26 15:00:00+00:00,28310.0,35327.2
2020-09-26 16:00:00+00:00,29163.0,35840.74
2020-09-26 17:00:00+00:00,32385.0,35887.2
2020-09-26 18:00:00+00:00,31416.0,35085.86
2020-09-26 19:00:00+00:00,29037.0,33140.273
2020-09-26 20:00:00+00:00,26904.0,30508.674
2020-09-26 21:00:00+00:00,24983.0,27909.95
2020-09-26 22:00:00+00:00,23190.0,25765.96
2020-09-26 00:00:00+00:00,24225.0,25160.19
2020-09-26 01:00:00+00:00,23688.0,24326.232
2020-09-26 02:00:00+00:00,23555.0,24545.967
2020-09-26 03:00:00+00:00,24001.0,26146.455
2020-09-26 04:00:00+00:00,25780.0,29079.264
2020-09-26 05:00:00+00:00,27359.0,32627.078
2020-09-26 06:00:00+00:00,29273.0,35440.96
2020-09-26 07:00:00+00:00,30571.0,36810.305
2020-09-26 08:00:00+00:00,30233.0,36715.223
2020-09-26 09:00:00+00:00,30129.0,35796.99
2020-09-26 10:00:00+00:00,29198.0,34849.156
2020-09-26 11:00:00+00:00,27174.0,34395.746
2020-09-26 12:00:00+00:00,25672.0,34522.195
2020-09-26 13:00:00+00:00,25361.0,34818.797
2020-09-26 14:00:00+00:00,27127.0,35206.05
2020-09-26 15:00:00+00:00,28310.0,35799.914
2020-09-26 16:00:00+00:00,29163.0,36349.31
2020-09-26 17:00:00+00:00,32385.0,36267.965
2020-09-26 18:00:00+00:00,31416.0,35227.117
2020-09-26 19:00:00+00:00,29037.0,33252.344
2020-09-26 20:00:00+00:00,26904.0,30657.61
2020-09-26 21:00:00+00:00,24983.0,28155.754
2020-09-26 22:00:00+00:00,23190.0,26163.47
2020-09-26 23:00:00+00:00,21570.0,24586.412
2020-09-26 01:00:00+00:00,23688.0,24210.936
2020-09-26 02:00:00+00:00,23555.0,24360.45
2020-09-26 03:00:00+00:00,24001.0,25820.135
2020-09-26 04:00:00+00:00,25780.0,28466.215
2020-09-26 05:00:00+00:00,27359.0,31559.232
2020-09-26 06:00:00+00:00,29273.0,34121.1
2020-09-26 07:00:00+00:00,30571.0,35284.984
2020-09-26 08:00:00+00:00,30233.0,35034.785
2020-09-26 09:00:00+00:00,30129.0,33975.4
2020-09-26 10:00:00+00:00,29198.0,32955.51
2020-09-26 11:00:00+00:00,27174.0,32589.836
2020-09-26 12:00:00+00:00,25672.0,32858.605
2020-09-26 13:00:00+00:00,25361.0,33440.758
2020-09-26 14:00:00+00:00,27127.0,34054.695
2020-09-26 15:00:00+00:00,28310.0,34614.707
2020-09-26 16:00:00+00:00,29163.0,35100.18
2020-09-26 17:00:00+00:00,32385.0,35078.59
2020-09-26 18:00:00+00:00,31416.0,34058.465
2020-09-26 19:00:00+00:00,29037.0,32094.906
2020-09-26 20:00:00+00:00,26904.0,29653.375
2020-09-26 21:00:00+00:00,24983.0,27234.057
2020-09-26 22:00:00+00:00,23190.0,25368.037
2020-09-26 23:00:00+00:00,21570.0,24055.482
2020-09-27 00:00:00+00:00,20613.0,23077.684
2020-09-26 02:00:00+00:00,23555.0,24550.176
2020-09-26 03:00:00+00:00,24001.0,25901.21
2020-09-26 04:00:00+00:00,25780.0,28508.223
2020-09-26 05:00:00+00:00,27359.0,31569.633
2020-09-26 06:00:00+00:00,29273.0,33890.633
2020-09-26 07:00:00+00:00,30571.0,34753.56
2020-09-26 08:00:00+00:00,30233.0,34193.56
2020-09-26 09:00:00+00:00,30129.0,32908.98
2020-09-26 10:00:00+00:00,29198.0,31772.37
2020-09-26 11:00:00+00:00,27174.0,31329.412
2020-09-26 12:00:00+00:00,25672.0,31664.33
2020-09-26 13:00:00+00:00,25361.0,32433.822
2020-09-26 14:00:00+00:00,27127.0,33229.906
2020-09-26 15:00:00+00:00,28310.0,33893.75
2020-09-26 16:00:00+00:00,29163.0,34317.777
2020-09-26 17:00:00+00:00,32385.0,34302.82
2020-09-26 18:00:00+00:00,31416.0,33381.1
2020-09-26 19:00:00+00:00,29037.0,31418.172
2020-09-26 20:00:00+00:00,26904.0,28885.287
2020-09-26 21:00:00+00:00,24983.0,26559.602
2020-09-26 22:00:00+00:00,23190.0,24784.541
2020-09-26 23:00:00+00:00,21570.0,23633.799
2020-09-27 00:00:00+00:00,20613.0,22836.447
2020-09-27 01:00:00+00:00,20308.0,22388.412
2020-09-26 03:00:00+00:00,24001.0,23894.344
2020-09-26 04:00:00+00:00,25780.0,26786.857
2020-09-26 05:00:00+00:00,27359.0,30483.658
2020-09-26 06:00:00+00:00,29273.0,33543.492
2020-09-26 07:00:00+00:00,30571.0,34937.21
2020-09-26 08:00:00+00:00,30233.0,34644.32
2020-09-26 09:00:00+00:00,30129.0,33227.406
