,MASE,sMAPE_%,MAPE_%,RMSE_MW,MSE
DE,0.3952207856237292,2.919141687710951,2.896144224616963,2044.760593926528,4181045.886474767
FR,0.7884353190658132,4.194375735135044,4.123913051537332,2453.2121827650208,6018250.013666718
IT,0.48182270625919627,4.609942641720508,4.668112297026769,1919.023102604212,3682649.6683286964
