,MASE,sMAPE_%,MAPE_%,RMSE_MW,MSE
DE,0.302850697408728,2.2373368758698584,2.226439806981988,1482.4923886605516,2197783.682436468
FR,0.44851264678900993,2.3830162570637414,2.3921421161210046,1446.5420770992098,2092483.980818496
IT,0.26937767268867074,2.711680710269908,2.7606252313559043,992.446312024418,984949.6822508684
