timestamp,actual,forecast
2020-09-25 23:00:00+00:00,25060.0,25619.781
2020-09-26 00:00:00+00:00,24225.0,24747.262
2020-09-26 01:00:00+00:00,23688.0,24190.168
2020-09-26 02:00:00+00:00,23555.0,23989.143
2020-09-26 03:00:00+00:00,24001.0,24684.344
2020-09-26 04:00:00+00:00,25780.0,26608.24
2020-09-26 05:00:00+00:00,27359.0,29153.34
2020-09-26 06:00:00+00:00,29273.0,31218.01
2020-09-26 07:00:00+00:00,30571.0,32139.613
2020-09-26 08:00:00+00:00,30233.0,31949.947
2020-09-26 09:00:00+00:00,30129.0,31044.506
2020-09-26 10:00:00+00:00,29198.0,30010.693
2020-09-26 11:00:00+00:00,27174.0,29294.29
2020-09-26 12:00:00+00:00,25672.0,29099.979
2020-09-26 13:00:00+00:00,25361.0,29240.0
2020-09-26 14:00:00+00:00,27127.0,29634.186
2020-09-26 15:00:00+00:00,28310.0,30502.574
2020-09-26 16:00:00+00:00,29163.0,31668.229
2020-09-26 17:00:00+00:00,32385.0,32416.207
2020-09-26 18:00:00+00:00,31416.0,31966.691
2020-09-26 19:00:00+00:00,29037.0,30346.734
2020-09-26 20:00:00+00:00,26904.0,28205.52
2020-09-26 21:00:00+00:00,24983.0,26053.637
2020-09-26 22:00:00+00:00,23190.0,24336.592
2020-09-26 00:00:00+00:00,24225.0,24741.34
2020-09-26 01:00:00+00:00,23688.0,24110.645
2020-09-26 02:00:00+00:00,23555.0,24012.514
2020-09-26 03:00:00+00:00,24001.0,24735.863
2020-09-26 04:00:00+00:00,25780.0,26497.672
2020-09-26 05:00:00+00:00,27359.0,28974.148
2020-09-26 06:00:00+00:00,29273.0,31172.805
2020-09-26 07:00:00+00:00,30571.0,32202.86
2020-09-26 08:00:00+00:00,30233.0,31978.664
2020-09-26 09:00:00+00:00,30129.0,31054.762
2020-09-26 10:00:00+00:00,29198.0,29985.812
2020-09-26 11:00:00+00:00,27174.0,29210.723
2020-09-26 12:00:00+00:00,25672.0,28950.252
2020-09-26 13:00:00+00:00,25361.0,29200.016
2020-09-26 14:00:00+00:00,27127.0,29790.79
2020-09-26 15:00:00+00:00,28310.0,30645.963
2020-09-26 16:00:00+00:00,29163.0,31672.697
2020-09-26 17:00:00+00:00,32385.0,32352.965
2020-09-26 18:00:00+00:00,31416.0,31950.695
2020-09-26 19:00:00+00:00,29037.0,30281.752
2020-09-26 20:00:00+00:00,26904.0,27947.133
2020-09-26 21:00:00+00:00,24983.0,25714.605
2020-09-26 22:00:00+00:00,23190.0,23944.375
2020-09-26 23:00:00+00:00,21570.0,22752.746
2020-09-26 01:00:00+00:00,23688.0,24114.57
2020-09-26 02:00:00+00:00,23555.0,23825.926
2020-09-26 03:00:00+00:00,24001.0,24531.36
2020-09-26 04:00:00+00:00,25780.0,26301.484
2020-09-26 05:00:00+00:00,27359.0,28643.498
2020-09-26 06:00:00+00:00,29273.0,30709.123
2020-09-26 07:00:00+00:00,30571.0,31784.176
2020-09-26 08:00:00+00:00,30233.0,31767.174
2020-09-26 09:00:00+00:00,30129.0,31037.25
2020-09-26 10:00:00+00:00,29198.0,30127.201
2020-09-26 11:00:00+00:00,27174.0,29407.93
2020-09-26 12:00:00+00:00,25672.0,29051.33
2020-09-26 13:00:00+00:00,25361.0,29121.041
2020-09-26 14:00:00+00:00,27127.0,29696.918
2020-09-26 15:00:00+00:00,28310.0,30686.596
2020-09-26 16:00:00+00:00,29163.0,31780.496
2020-09-26 17:00:00+00:00,32385.0,32430.438
2020-09-26 18:00:00+00:00,31416.0,32056.62
2020-09-26 19:00:00+00:00,29037.0,30487.99
2020-09-26 20:00:00+00:00,26904.0,28205.92
2020-09-26 21:00:00+00:00,24983.0,25922.545
2020-09-26 22:00:00+00:00,23190.0,24050.383
2020-09-26 23:00:00+00:00,21570.0,22640.467
2020-09-27 00:00:00+00:00,20613.0,21667.875
2020-09-26 02:00:00+00:00,23555.0,23537.193
2020-09-26 03:00:00+00:00,24001.0,24180.9
2020-09-26 04:00:00+00:00,25780.0,26031.55
2020-09-26 05:00:00+00:00,27359.0,28532.684
2020-09-26 06:00:00+00:00,29273.0,30686.652
2020-09-26 07:00:00+00:00,30571.0,31803.072
2020-09-26 08:00:00+00:00,30233.0,31775.232
2020-09-26 09:00:00+00:00,30129.0,31026.865
2020-09-26 10:00:00+00:00,29198.0,30082.943
2020-09-26 11:00:00+00:00,27174.0,29384.588
2020-09-26 12:00:00+00:00,25672.0,29111.902
2020-09-26 13:00:00+00:00,25361.0,29152.51
2020-09-26 14:00:00+00:00,27127.0,29532.463
2020-09-26 15:00:00+00:00,28310.0,30460.97
2020-09-26 16:00:00+00:00,29163.0,31630.01
2020-09-26 17:00:00+00:00,32385.0,32288.639
2020-09-26 18:00:00+00:00,31416.0,31778.771
2020-09-26 19:00:00+00:00,29037.0,30107.266
2020-09-26 20:00:00+00:00,26904.0,27861.973
2020-09-26 21:00:00+00:00,24983.0,25697.076
2020-09-26 22:00:00+00:00,23190.0,23965.016
2020-09-26 23:00:00+00:00,21570.0,22677.24
2020-09-27 00:00:00+00:00,20613.0,21672.031
2020-09-27 01:00:00+00:00,20308.0,20975.406
2020-09-26 03:00:00+00:00,24001.0,24238.018
2020-09-26 04:00:00+00:00,25780.0,26085.58
2020-09-26 05:00:00+00:00,27359.0,28554.09
2020-09-26 06:00:00+00:00,29273.0,30626.652
2020-09-26 07:00:00+00:00,30571.0,31575.658
2020-09-26 08:00:00+00:00,30233.0,31448.05
2020-09-26 09:00:00+00:00,30129.0,30671.162
