timestamp,actual,forecast
2020-09-25 23:00:00+00:00,39993.0,40928.29
2020-09-26 00:00:00+00:00,38438.0,38907.227
2020-09-26 01:00:00+00:00,36011.0,36957.76
2020-09-26 02:00:00+00:00,34881.0,35446.508
2020-09-26 03:00:00+00:00,35330.0,35206.367
2020-09-26 04:00:00+00:00,37073.0,36715.938
2020-09-26 05:00:00+00:00,38757.0,39292.508
2020-09-26 06:00:00+00:00,41065.0,41886.363
2020-09-26 07:00:00+00:00,43698.0,44208.7
2020-09-26 08:00:00+00:00,45243.0,45994.434
2020-09-26 09:00:00+00:00,46432.0,46915.336
2020-09-26 10:00:00+00:00,48629.0,46843.863
2020-09-26 11:00:00+00:00,46750.0,46395.68
2020-09-26 12:00:00+00:00,44561.0,45523.723
2020-09-26 13:00:00+00:00,43189.0,44213.863
2020-09-26 14:00:00+00:00,41982.0,43079.01
2020-09-26 15:00:00+00:00,41839.0,43287.43
2020-09-26 16:00:00+00:00,43505.0,44459.12
2020-09-26 17:00:00+00:00,46185.0,45213.258
2020-09-26 18:00:00+00:00,46363.0,44982.926
2020-09-26 19:00:00+00:00,43953.0,44429.363
2020-09-26 20:00:00+00:00,44468.0,44679.836
2020-09-26 21:00:00+00:00,45597.0,44481.63
2020-09-26 22:00:00+00:00,43017.0,42937.496
2020-09-26 00:00:00+00:00,38438.0,38987.57
2020-09-26 01:00:00+00:00,36011.0,37349.773
2020-09-26 02:00:00+00:00,34881.0,35812.707
2020-09-26 03:00:00+00:00,35330.0,35354.363
2020-09-26 04:00:00+00:00,37073.0,36585.79
2020-09-26 05:00:00+00:00,38757.0,39144.45
2020-09-26 06:00:00+00:00,41065.0,42008.14
2020-09-26 07:00:00+00:00,43698.0,44231.117
2020-09-26 08:00:00+00:00,45243.0,45935.777
2020-09-26 09:00:00+00:00,46432.0,47164.066
2020-09-26 10:00:00+00:00,48629.0,47359.62
2020-09-26 11:00:00+00:00,46750.0,46405.234
2020-09-26 12:00:00+00:00,44561.0,45343.57
2020-09-26 13:00:00+00:00,43189.0,44330.484
2020-09-26 14:00:00+00:00,41982.0,43307.824
2020-09-26 15:00:00+00:00,41839.0,43055.52
2020-09-26 16:00:00+00:00,43505.0,44099.508
2020-09-26 17:00:00+00:00,46185.0,44976.715
2020-09-26 18:00:00+00:00,46363.0,44716.97
2020-09-26 19:00:00+00:00,43953.0,44589.168
2020-09-26 20:00:00+00:00,44468.0,45024.633
2020-09-26 21:00:00+00:00,45597.0,44845.24
2020-09-26 22:00:00+00:00,43017.0,42877.93
2020-09-26 23:00:00+00:00,40352.0,40495.332
2020-09-26 01:00:00+00:00,36011.0,36822.844
2020-09-26 02:00:00+00:00,34881.0,35479.793
2020-09-26 03:00:00+00:00,35330.0,35430.09
2020-09-26 04:00:00+00:00,37073.0,37003.676
2020-09-26 05:00:00+00:00,38757.0,39319.035
2020-09-26 06:00:00+00:00,41065.0,41674.71
2020-09-26 07:00:00+00:00,43698.0,43942.125
2020-09-26 08:00:00+00:00,45243.0,45722.56
2020-09-26 09:00:00+00:00,46432.0,46818.51
2020-09-26 10:00:00+00:00,48629.0,47079.773
2020-09-26 11:00:00+00:00,46750.0,46203.816
2020-09-26 12:00:00+00:00,44561.0,44792.93
2020-09-26 13:00:00+00:00,43189.0,43748.96
2020-09-26 14:00:00+00:00,41982.0,43111.617
2020-09-26 15:00:00+00:00,41839.0,43170.36
2020-09-26 16:00:00+00:00,43505.0,44359.824
2020-09-26 17:00:00+00:00,46185.0,45602.83
2020-09-26 18:00:00+00:00,46363.0,45266.69
2020-09-26 19:00:00+00:00,43953.0,44523.195
2020-09-26 20:00:00+00:00,44468.0,44897.75
2020-09-26 21:00:00+00:00,45597.0,44706.656
2020-09-26 22:00:00+00:00,43017.0,42678.75
2020-09-26 23:00:00+00:00,40352.0,40086.465
2020-09-27 00:00:00+00:00,38332.0,38587.09
2020-09-26 02:00:00+00:00,34881.0,35268.996
2020-09-26 03:00:00+00:00,35330.0,35075.85
2020-09-26 04:00:00+00:00,37073.0,36386.754
2020-09-26 05:00:00+00:00,38757.0,38786.957
2020-09-26 06:00:00+00:00,41065.0,41270.46
2020-09-26 07:00:00+00:00,43698.0,43330.633
2020-09-26 08:00:00+00:00,45243.0,45123.64
2020-09-26 09:00:00+00:00,46432.0,46523.234
2020-09-26 10:00:00+00:00,48629.0,47069.867
2020-09-26 11:00:00+00:00,46750.0,46687.297
2020-09-26 12:00:00+00:00,44561.0,45516.598
2020-09-26 13:00:00+00:00,43189.0,44027.28
2020-09-26 14:00:00+00:00,41982.0,43031.56
2020-09-26 15:00:00+00:00,41839.0,43270.37
2020-09-26 16:00:00+00:00,43505.0,44496.516
2020-09-26 17:00:00+00:00,46185.0,45369.773
2020-09-26 18:00:00+00:00,46363.0,45005.82
2020-09-26 19:00:00+00:00,43953.0,44231.965
2020-09-26 20:00:00+00:00,44468.0,44327.62
2020-09-26 21:00:00+00:00,45597.0,44352.3
2020-09-26 22:00:00+00:00,43017.0,42626.797
2020-09-26 23:00:00+00:00,40352.0,40210.92
2020-09-27 00:00:00+00:00,38332.0,38135.695
2020-09-27 01:00:00+00:00,35747.0,36609.242
2020-09-26 03:00:00+00:00,35330.0,35234.44
2020-09-26 04:00:00+00:00,37073.0,36589.637
2020-09-26 05:00:00+00:00,38757.0,38671.06
2020-09-26 06:00:00+00:00,41065.0,40990.94
2020-09-26 07:00:00+00:00,43698.0,42995.984
2020-09-26 08:00:00+00:00,45243.0,44630.24
2020-09-26 09:00:00+00:00,46432.0,45993.824
