Country,Mean (MW),Std (MW),Min (MW),Max (MW),Total Hours,Missing (%)
DE,55492.18400428563,10015.53540857143,31307.0,77549.0,50401,0.0
FR,53250.17797265927,11678.373397896086,29398.0,112073.0,50401,0.0
IT,32888.10182337652,7607.810421896861,15334.0,55157.0,50401,0.0
