timestamp,actual,forecast,lower_bound_80%,upper_bound_80%,error
2020-09-19 00:00:00+00:00,37540.0,35024.84820033587,32710.39404594939,37339.30235472236,2515.151799664127
2020-09-19 01:00:00+00:00,35438.0,33055.970342443485,30488.61907359038,35623.32161129659,2382.0296575565153
2020-09-19 02:00:00+00:00,34310.0,32357.76593337772,29553.680739407064,35161.851127348375,1952.2340666222808
2020-09-19 03:00:00+00:00,34727.0,33386.07624605795,30366.93654304909,36405.21594906681,1340.92375394205
2020-09-19 04:00:00+00:00,36165.0,35698.20333477146,32486.95512208985,38909.45154745307,466.7966652285395
2020-09-19 05:00:00+00:00,37057.0,37569.36858972714,34188.1440577867,40950.59312166758,-512.3685897271425
2020-09-19 06:00:00+00:00,39137.0,40172.94237545072,36642.1349819229,43703.749768978545,-1035.9423754507225
2020-09-19 07:00:00+00:00,42021.0,42681.20102058308,39019.13978956655,46343.26225159961,-660.2010205830811
2020-09-19 08:00:00+00:00,43693.0,44230.59790851009,40453.52372040927,48007.67209661091,-537.5979085100917
2020-09-19 09:00:00+00:00,44911.0,45592.70413446565,41714.8900509,49470.518218031306,-681.7041344656536
2020-09-19 10:00:00+00:00,47314.0,47337.235672116854,43371.16779984039,51303.30354439332,-23.235672116854403
2020-09-19 11:00:00+00:00,45904.0,46160.686045886054,42117.26148516464,50204.110606607464,-256.68604588605376
2020-09-19 12:00:00+00:00,44539.0,44894.81730821638,40783.5373813827,49006.09723505005,-355.81730821637757
2020-09-19 13:00:00+00:00,43047.0,43622.98885687292,39452.137513162284,47793.84020058356,-575.988856872922
2020-09-19 14:00:00+00:00,41848.0,42489.16674233008,38265.97029173309,46712.36319292708,-641.1667423300823
2020-09-19 15:00:00+00:00,41593.0,42178.088304957106,37908.8558917512,46447.32071816301,-585.0883049571057
2020-09-19 16:00:00+00:00,42127.0,43217.58994713518,38907.83577915833,47527.34411511203,-1090.5899471351804
2020-09-19 17:00:00+00:00,43041.0,44106.00585750255,39760.55490938252,48451.456805622576,-1065.0058575025469
2020-09-19 18:00:00+00:00,43288.0,43416.42227929101,39039.501406327334,47793.34315225468,-128.42227929100773
2020-09-19 19:00:00+00:00,41550.0,42760.09556542084,38355.41193468451,47164.779196157164,-1210.0955654208374
2020-09-19 20:00:00+00:00,42241.0,42933.49874058872,38504.30733784291,47362.690143334534,-692.4987405887223
2020-09-19 21:00:00+00:00,42974.0,43346.55857006842,38895.720346899725,47797.39679323711,-372.5585700684169
2020-09-19 22:00:00+00:00,39383.0,39947.075400077694,35477.10742311082,44417.04337704457,-564.0754000776942
2020-09-19 23:00:00+00:00,36762.0,37478.8828165911,32992.00158879963,41965.76404438258,-716.8828165911036
2020-09-20 00:00:00+00:00,35204.0,36035.26778574403,33026.131698525314,39044.40387296274,-831.2677857440285
2020-09-20 01:00:00+00:00,33066.0,33974.79411036124,30645.46833421934,37304.11988650314,-908.7941103612393
2020-09-20 02:00:00+00:00,31993.0,33143.54526033345,29514.020401389855,36773.07011927704,-1150.5452603334488
2020-09-20 03:00:00+00:00,31971.0,34057.238704080155,30153.160985631996,37961.31642252831,-2086.238704080155
2020-09-20 04:00:00+00:00,32728.0,36327.40811554015,32176.076737984204,40478.7394930961,-3599.408115540151
2020-09-20 05:00:00+00:00,33023.0,38101.16280820051,33729.36995877859,42472.955657622435,-5078.162808200512
2020-09-20 06:00:00+00:00,34544.0,40547.04559741361,35979.97482105413,45114.1163737731,-6003.045597413613
2020-09-20 07:00:00+00:00,37468.0,43070.2141282597,38330.94035000177,47809.48790651763,-5602.2141282597
2020-09-20 08:00:00+00:00,39965.0,44555.19733683326,39664.525782643286,49445.86889102324,-4590.197336833262
2020-09-20 09:00:00+00:00,42075.0,45823.4198756997,40799.911967985725,50846.927783413674,-3748.4198756996993
2020-09-20 10:00:00+00:00,44473.0,47667.43292818478,42527.5307110543,52807.335145315265,-3194.432928184782
2020-09-20 11:00:00+00:00,42672.0,46446.97913546844,41205.17663107437,51688.781639862515,-3774.979135468442
2020-09-20 12:00:00+00:00,40606.0,45156.95320770256,39825.98480188342,50487.9216135217,-4550.953207702558
2020-09-20 13:00:00+00:00,39094.0,43815.82049862831,38406.84937455267,49224.791622703946,-4721.820498628309
2020-09-20 14:00:00+00:00,38129.0,42632.776311481124,37155.573691263715,48109.97893169853,-4503.776311481124
2020-09-20 15:00:00+00:00,38334.0,42300.46335415753,36763.57394431484,47837.35276400022,-3966.4633541575313
2020-09-20 16:00:00+00:00,39790.0,43206.62553750625,37617.51732566182,48795.73374935067,-3416.6255375062465
2020-09-20 17:00:00+00:00,41787.0,44071.48084789887,38436.67899765362,49706.282698144125,-2284.4808478988707
2020-09-20 18:00:00+00:00,42873.0,43613.941325011314,37939.14680934706,49288.73584067557,-740.9413250113139
2020-09-20 19:00:00+00:00,41431.0,42610.39785497752,36900.591930743976,48320.203779211064,-1179.3978549775202
2020-09-20 20:00:00+00:00,41613.0,42844.9293662913,37104.46519387145,48585.39353871114,-1231.929366291297
2020-09-20 21:00:00+00:00,42237.0,43369.59337416722,37602.276133697495,49136.910614636945,-1132.5933741672197
2020-09-20 22:00:00+00:00,39104.0,39917.73232855342,34126.8891433808,45708.57551372604,-813.7323285534221
2020-09-20 23:00:00+00:00,36771.0,37397.375818185545,31585.916708662535,43208.83492770855,-626.3758181855446
2020-09-21 00:00:00+00:00,35369.0,35446.37404351413,33149.93305044293,37742.81503658533,-77.37404351412988
2020-09-21 01:00:00+00:00,33396.0,33438.774589858294,30886.830307614102,35990.71887210249,-42.77458985829435
