timestamp,actual,forecast,lower_bound_80%,upper_bound_80%,error
2020-09-19 00:00:00+00:00,26976.0,22606.57218944489,22026.60571554576,23186.53866334402,4369.427810555109
2020-09-19 01:00:00+00:00,26304.0,22293.64410544968,21119.305136572693,23467.983074326665,4010.355894550321
2020-09-19 02:00:00+00:00,26102.0,22374.561822112202,20604.643936734697,24144.479707489707,3727.438177887798
2020-09-19 03:00:00+00:00,26478.0,23156.040203809047,20857.935063423844,25454.14534419425,3321.959796190953
2020-09-19 04:00:00+00:00,28057.0,24693.788146593666,21942.792607550928,27444.783685636405,3363.211853406334
2020-09-19 05:00:00+00:00,29601.0,26662.102856106438,23527.221097497983,29796.984614714893,2938.8971438935623
2020-09-19 06:00:00+00:00,31985.0,29609.35869099137,26149.972047034746,33068.74533494799,2375.6413090086317
2020-09-19 07:00:00+00:00,33697.0,31279.810246098765,27545.768992763133,35013.8514994344,2417.1897539012352
2020-09-19 08:00:00+00:00,33648.0,31973.817204601088,28006.59040171299,35941.04400748918,1674.1827953989123
2020-09-19 09:00:00+00:00,33155.0,32264.539730383563,28098.569636284585,36430.50982448254,890.4602696164366
2020-09-19 10:00:00+00:00,32367.0,31924.82527633362,27588.782692457782,36260.86786020946,442.1747236663796
2020-09-19 11:00:00+00:00,31484.0,31407.391243547776,26925.242729126945,35889.53975796861,76.60875645222404
2020-09-19 12:00:00+00:00,30749.0,31541.934603509835,26933.81550923502,36150.05369778465,-792.9346035098351
2020-09-19 13:00:00+00:00,31013.0,31893.939213149166,27176.855480262206,36611.02294603612,-880.9392131491659
2020-09-19 14:00:00+00:00,31743.0,32440.40472029506,27628.7933077712,37252.01613281892,-697.4047202950605
2020-09-19 15:00:00+00:00,32344.0,32749.88691002577,27856.06312930985,37643.71069074169,-405.8869100257689
2020-09-19 16:00:00+00:00,33583.0,33070.34836746541,28104.86409579601,38035.83263913482,512.6516325345874
2020-09-19 17:00:00+00:00,36088.0,34257.499148790565,29229.431222344858,39285.56707523627,1830.5008512094355
2020-09-19 18:00:00+00:00,35019.0,35150.858123866725,30068.04205220066,40233.67419553279,-131.85812386672478
2020-09-19 19:00:00+00:00,32350.0,33143.34887574981,28012.5696031774,38274.12814832223,-793.3488757498126
2020-09-19 20:00:00+00:00,30025.0,30746.80690680868,25573.955653357334,35919.65816026003,-721.8069068086807
2020-09-19 21:00:00+00:00,28027.0,28392.783907973597,23182.98804483812,33602.57977110907,-365.7839079735968
2020-09-19 22:00:00+00:00,25980.0,26166.741567733403,20924.472896883686,31409.01023858312,-186.74156773340292
2020-09-19 23:00:00+00:00,24571.0,24695.079799969964,19424.24540374281,29965.914196197118,-124.07979996996437
2020-09-20 00:00:00+00:00,23591.0,25511.270045139645,24907.05439253618,26115.485697743108,-1920.270045139645
2020-09-20 01:00:00+00:00,22993.0,24983.234873429596,23780.583779783392,26185.8859670758,-1990.2348734295956
2020-09-20 02:00:00+00:00,22748.0,24908.61478456688,23113.10854859693,26704.121020536826,-2160.6147845668784
2020-09-20 03:00:00+00:00,23060.0,25598.157987984672,23280.55694536509,27915.759030604255,-2538.157987984672
2020-09-20 04:00:00+00:00,23754.0,27447.863050208183,24684.823740613534,30210.902359802833,-3693.8630502081833
2020-09-20 05:00:00+00:00,23729.0,29631.407876607846,26492.0938246302,32770.72192858549,-5902.4078766078455
2020-09-20 06:00:00+00:00,25136.0,32630.569508855562,29173.87967835672,36087.2593393544,-7494.569508855562
2020-09-20 07:00:00+00:00,26834.0,34362.41290399319,30637.42449545981,38087.40131252656,-7528.412903993187
2020-09-20 08:00:00+00:00,27512.0,34678.31689292321,30725.638825928392,38630.99495991803,-7166.316892923212
2020-09-20 09:00:00+00:00,27449.0,34647.03155806468,30500.267848318246,38793.79526781111,-7198.031558064678
2020-09-20 10:00:00+00:00,27666.0,33962.7369408009,29649.794042384154,38275.67983921765,-6296.7369408009035
2020-09-20 11:00:00+00:00,26704.0,33401.81643601711,28945.99001943173,37857.64285260248,-6697.816436017107
2020-09-20 12:00:00+00:00,26516.0,33295.63440787775,28716.484576902614,37874.78423885288,-6779.634407877747
2020-09-20 13:00:00+00:00,26773.0,33536.100521266686,28850.14725593209,38222.05378660128,-6763.100521266686
2020-09-20 14:00:00+00:00,27627.0,34069.8283747061,29291.10204373256,38848.554705679635,-6442.8283747061
2020-09-20 15:00:00+00:00,28101.0,34291.20181410913,29431.679708627194,39150.723919591066,-6190.201814109132
2020-09-20 16:00:00+00:00,29210.0,34760.70507406703,29830.65926988149,39690.75087825257,-5550.705074067031
2020-09-20 17:00:00+00:00,32279.0,36248.85999046508,31257.13642848726,41240.58355244289,-3969.8599904650764
2020-09-20 18:00:00+00:00,32489.0,36197.21179601776,31151.455909168413,41242.9676828671,-3708.2117960177566
2020-09-20 19:00:00+00:00,30849.0,33793.17993860281,28700.02053469511,38886.3393425105,-2944.179938602807
2020-09-20 20:00:00+00:00,28753.0,31257.805525990654,26123.005850810066,36392.605201171245,-2504.805525990654
2020-09-20 21:00:00+00:00,26611.0,28985.078580755682,23813.66137499583,34156.49578651553,-2374.078580755682
2020-09-20 22:00:00+00:00,24588.0,26788.195796250013,21584.547572091265,31991.84402040876,-2200.195796250013
2020-09-20 23:00:00+00:00,23282.0,25291.071287462706,20059.029858165028,30523.112716760385,-2009.071287462706
2020-09-21 00:00:00+00:00,22610.0,22822.7093964724,22213.42105866751,23431.99773427729,-212.70939647240084
2020-09-21 01:00:00+00:00,22503.0,22435.272110729737,21226.068691830664,23644.47552962881,67.7278892702634
